,날짜,종가,전일비,시가,고가,저가,거래량,date
10,2025.01.02,56800.0,보합0,56900.0,58100.0,56600.0,564964.0,2025-01-02
9,2025.01.03,57000.0,상승  200,57100.0,58000.0,57000.0,530060.0,2025-01-03
5,2025.01.06,57800.0,상승  800,57200.0,57900.0,56500.0,488149.0,2025-01-06
4,2025.01.07,57700.0,하락  100,58000.0,58700.0,57600.0,577978.0,2025-01-07
3,2025.01.08,57800.0,상승  100,57300.0,58400.0,57200.0,494540.0,2025-01-08
2,2025.01.09,58500.0,상승  700,57500.0,58800.0,57400.0,750459.0,2025-01-09
1,2025.01.10,58600.0,상승  100,58000.0,58900.0,57700.0,760941.0,2025-01-10
13,2025.01.13,58600.0,보합0,58300.0,59300.0,58100.0,766350.0,2025-01-13
12,2025.01.14,58000.0,하락  600,59000.0,59100.0,57700.0,586166.0,2025-01-14
11,2025.01.15,57800.0,하락  200,58300.0,59200.0,57300.0,1098200.0,2025-01-15
10,2025.01.16,58100.0,상승  300,58400.0,58700.0,57800.0,845554.0,2025-01-16
9,2025.01.17,57300.0,하락  800,58100.0,59100.0,57000.0,1130063.0,2025-01-17
5,2025.01.20,57200.0,하락  100,57100.0,57900.0,57000.0,626010.0,2025-01-20
4,2025.01.21,58000.0,상승  800,57500.0,58600.0,57400.0,1110986.0,2025-01-21
3,2025.01.22,58700.0,상승  700,58600.0,59100.0,58000.0,1017026.0,2025-01-22
2,2025.01.23,59100.0,상승  400,59000.0,60000.0,58900.0,1352096.0,2025-01-23
1,2025.01.24,59200.0,상승  100,59400.0,59700.0,58800.0,776640.0,2025-01-24
13,2025.01.31,60500.0,"상승  1,300",60100.0,60900.0,59600.0,1308593.0,2025-01-31
12,2025.02.03,59300.0,"하락  1,200",59700.0,60300.0,58800.0,1003514.0,2025-02-03
11,2025.02.04,61500.0,"상승  2,200",59800.0,62300.0,59600.0,1540601.0,2025-02-04
10,2025.02.05,61800.0,상승  300,61900.0,63700.0,61300.0,1406330.0,2025-02-05
9,2025.02.06,61400.0,하락  400,61900.0,62600.0,60900.0,1144658.0,2025-02-06
5,2025.02.07,61600.0,상승  200,61400.0,61800.0,61000.0,1071213.0,2025-02-07
4,2025.02.10,60700.0,하락  900,61700.0,62500.0,60700.0,835576.0,2025-02-10
3,2025.02.11,60600.0,하락  100,61200.0,61600.0,60100.0,625237.0,2025-02-11
2,2025.02.12,60900.0,상승  300,61000.0,61500.0,60600.0,603264.0,2025-02-12
1,2025.02.13,60600.0,하락  300,60900.0,61400.0,60600.0,877616.0,2025-02-13
13,2025.02.14,60800.0,상승  200,60500.0,61100.0,60200.0,553878.0,2025-02-14
12,2025.02.17,60300.0,하락  500,61000.0,61000.0,60000.0,624388.0,2025-02-17
11,2025.02.18,61200.0,상승  900,60100.0,61400.0,60100.0,497851.0,2025-02-18
10,2025.02.19,62100.0,상승  900,61200.0,62800.0,61200.0,935452.0,2025-02-19
9,2025.02.20,62500.0,상승  400,62100.0,62700.0,62000.0,682490.0,2025-02-20
5,2025.02.21,62300.0,하락  200,62800.0,63100.0,62000.0,804553.0,2025-02-21
4,2025.02.24,62500.0,상승  200,62300.0,62600.0,61800.0,513177.0,2025-02-24
3,2025.02.25,62000.0,하락  500,62200.0,62900.0,62000.0,1481212.0,2025-02-25
2,2025.02.26,62500.0,상승  500,62000.0,62800.0,61800.0,1303228.0,2025-02-26
1,2025.02.27,61500.0,"하락  1,000",62000.0,62000.0,60300.0,1261187.0,2025-02-27
13,2025.02.28,59500.0,"하락  2,000",60900.0,61100.0,59500.0,2001092.0,2025-02-28
12,2025.03.04,59400.0,하락  100,59900.0,60200.0,59200.0,764143.0,2025-03-04
11,2025.03.05,57800.0,"하락  1,600",59500.0,59900.0,57600.0,1115620.0,2025-03-05
10,2025.03.06,59500.0,"상승  1,700",58000.0,59600.0,58000.0,739368.0,2025-03-06
9,2025.03.07,58000.0,"하락  1,500",58800.0,59100.0,58000.0,684582.0,2025-03-07
5,2025.03.10,59300.0,"상승  1,300",57600.0,60000.0,57600.0,687263.0,2025-03-10
4,2025.03.11,58800.0,하락  500,58300.0,59600.0,58200.0,638980.0,2025-03-11
3,2025.03.12,60500.0,"상승  1,700",59200.0,60700.0,59100.0,1150668.0,2025-03-12
2,2025.03.13,61600.0,"상승  1,100",60600.0,61900.0,60200.0,1647441.0,2025-03-13
1,2025.03.14,60100.0,"하락  1,500",60500.0,61300.0,60000.0,1107925.0,2025-03-14
